Lambda, Avg Service Time, Quantum, CPU Utilization, Avg Turnaround, Avg Queuesize, System Throughput,
1,0.6,0.01,0.9995838782546665,3434.8004,3442,0.5944596361907026
2,0.6,0.01,0.8277786007011307,85.168,41,0.4937540117513455
3,0.6,0.01,0.5557288383050735,16.6614,4,0.33181803099180407
4,0.6,0.01,0.41273531838295957,8.5282,1,0.2500062501562539
5,0.6,0.01,0.33657178341780014,3.3459,0,0.2003165000701108
6,0.6,0.01,0.279346012679346,2.7345,0,0.1668335001668335
7,0.6,0.01,0.23779832294130296,3.0847,0,0.1433383501755895
8,0.6,0.01,0.20851415064844112,2.714,0,0.1250609672215205
9,0.6,0.01,0.1852854358117516,2.0001,0,0.1113895850737956
10,0.6,0.01,0.16640348597813268,1.7713,0,0.09994203362050011
11,0.6,0.01,0.15107097476856055,1.9691,0,0.0907605736068252
12,0.6,0.01,0.1385685153612142,1.6667,0,0.08357570287166115
13,0.6,0.01,0.12710317642908633,1.6792,0,0.07668829276522646
14,0.6,0.01,0.11903100388794736,1.6839,0,0.0712078271643619
15,0.6,0.01,0.11004413694381486,1.6701,0,0.06627168740970482
16,0.6,0.01,0.10444634806695471,1.6704,0,0.06252774668759262
17,0.6,0.01,0.09750180200770028,1.6638,0,0.05860187643208335
18,0.6,0.01,0.09225294733866543,1.6644,0,0.055427149326283
19,0.6,0.01,0.08616131500488114,1.6328,0,0.052769056225429406
20,0.6,0.01,0.08326450934754862,1.6635,0,0.05005380784343169
21,0.6,0.01,0.07948912820071602,1.663,0,0.04779863391504271
22,0.6,0.01,0.07499931880727695,1.6515,0,0.0454128482030136
23,0.6,0.01,0.07269936906724266,1.6627,0,0.043723683807808174
24,0.6,0.01,0.07019210734675167,1.6844,0,0.041671875651123055
25,0.6,0.01,0.06652540166393617,1.6608,0,0.040056238959499134
26,0.6,0.01,0.06453749157763018,1.6762,0,0.038502262007892966
27,0.6,0.01,0.0621121232318744,1.6774,0,0.03702880841294527
28,0.6,0.01,0.059957142857142855,1.6788,0,0.03571428571428571
29,0.6,0.01,0.05775383003075056,1.6753,0,0.034473724127470046
30,0.6,0.01,0.05546580685561636,1.6652,0,0.03330879585372109
